path	binary
roland.ext.sd.dt.multi.timbre.part4.scaleTune3	41DE00481210002336
roland.ext.sd.dt.multi.timbre.part4.scaleTune4	41DE00481210002337
roland.ext.sd.dt.multi.timbre.part4.scaleTune5	41DE00481210002338
roland.ext.sd.dt.multi.timbre.part4.scaleTune6	41DE00481210002339
roland.ext.sd.dt.multi.timbre.part4.scaleTune7	41DE0048121000233a
roland.ext.sd.dt.multi.timbre.part4.scaleTune8	41DE0048121000233b
roland.ext.sd.dt.multi.timbre.part4.scaleTune9	41DE0048121000233c
roland.ext.sd.dt.multi.timbre.part4.scaleTune10	41DE0048121000233d
roland.ext.sd.dt.multi.timbre.part4.scaleTune11	41DE0048121000233e
roland.ext.sd.dt.multi.timbre.part4.sdGm2Set	41DE0048121000233f
roland.ext.sd.dt.multi.timbre.part5	41DE004812100024
roland.ext.sd.dt.multi.timbre.part5.rxCh	41DE00481210002400
roland.ext.sd.dt.multi.timbre.part5.rxSwitch	41DE00481210002401
roland.ext.sd.dt.multi.timbre.part5.unknown02	41DE00481210002402
roland.ext.sd.dt.multi.timbre.part5.rxPort	41DE00481210002403
roland.ext.sd.dt.multi.timbre.part5.bankMsb	41DE00481210002404
roland.ext.sd.dt.multi.timbre.part5.bankLsb	41DE00481210002405
roland.ext.sd.dt.multi.timbre.part5.program	41DE00481210002406
roland.ext.sd.dt.multi.timbre.part5.volume	41DE00481210002407
roland.ext.sd.dt.multi.timbre.part5.panpot	41DE00481210002408
roland.ext.sd.dt.multi.timbre.part5.coarseTune	41DE00481210002409
roland.ext.sd.dt.multi.timbre.part5.fineTune	41DE0048121000240a
roland.ext.sd.dt.multi.timbre.part5.monoPoly	41DE0048121000240b
roland.ext.sd.dt.multi.timbre.part5.legato	41DE0048121000240c
roland.ext.sd.dt.multi.timbre.part5.pitchRange	41DE0048121000240d
roland.ext.sd.dt.multi.timbre.part5.portamentoSw	41DE0048121000240e
roland.ext.sd.dt.multi.timbre.part5.portamento	41DE0048121000240f
roland.ext.sd.dt.multi.timbre.part5.portamentoSecondByte	41DE00481210002410
